"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G08460",165.147426323235,-0.251370084636432,0.316513264403331,-0.794184992879515,0.427087743738777,0.999646927568409
"AT1G08610",39.7642811875962,0.275431346353327,0.393194599246135,0.700496260328618,0.483617439803547,0.999646927568409
"AT1G27380",21.1167768585587,0.412560974634875,0.837609489831777,0.492545726431218,0.622333604855539,0.999646927568409
"AT1G51440",8.39212746738437,0.976030835044985,0.945552720240252,1.03223312053609,0.301962922861455,0.999646927568409
"AT1G21610",231.445649858335,-0.0274248729362632,0.255428217423976,-0.10736821958375,0.914496865830738,0.999646927568409
"AT1G79710",192.275844279665,0.279752636667402,0.278563419076233,1.00426910897028,0.315248919055317,0.999646927568409
"AT1G80840",82.4584297060561,1.58215007067395,1.08213899135427,1.46205809356701,0.143725291099171,0.999646927568409
"AT1G49490",21.3758738073939,-0.420283598177518,0.543382170782113,-0.773458572578093,0.43925103716517,0.999646927568409
"AT1G09795",61.9105713726167,0.0842814987962876,0.390034292365326,0.216087406789722,0.828919615757605,0.999646927568409
"AT1G48690",64.8793826615445,-0.177120783692254,0.446925662924848,-0.396309271061119,0.691876888670981,0.999646927568409
"AT1G68470",49.4546171073766,0.485637679642306,0.760841408486717,0.638290285235947,0.523284734696302,0.999646927568409
"AT1G75580",14.2082053241352,0.495289472855147,0.644720509184955,0.768223541517678,0.442354389712101,0.999646927568409
"AT1G59970",109.883522338136,-0.0228331200084218,0.479457204061902,-0.0476228531242882,0.962016818531439,0.999646927568409
"AT1G30640",233.892257564969,0.125827525719859,0.251410222040797,0.500486912180685,0.61673226940457,0.999646927568409
"AT1G26440",584.542638549453,-0.130385440841617,0.415234119956714,-0.314004641177388,0.753517513773921,0.999646927568409
"AT1G22070",377.61216668099,-0.13392387843859,0.327594742485662,-0.408809608549965,0.682679387976925,0.999646927568409
"AT1G26700",11.8981681704835,-0.453839278223586,0.952865819262714,-0.476288758657276,0.633868672892902,0.999646927568409
"AT1G78180",29.3014852008843,0.101759649716607,0.457725585046169,0.222315843905345,0.824068019047175,0.999646927568409
"AT1G29880",577.227152288708,0.210922166062946,0.292039955897133,0.722237357607465,0.470148558934955,0.999646927568409
"AT1G53645",182.203305904266,0.0891098795149618,0.301231053030817,0.29581903531654,0.767368285183852,0.999646927568409
"AT1G06240",36.3782723637658,0.0165052582921674,0.352907679116821,0.0467693373334156,0.962697067543093,0.999646927568409
"AT1G72330",187.939804828431,0.531651542563525,0.260147399523122,2.04365503379276,0.0409876383616906,0.999646927568409
"AT1G20840",1440.60757683709,-0.134581124305284,0.268871122243012,-0.500541386455207,0.61669392226247,0.999646927568409
"AT1G45050",64.0329974348964,-0.00646249830050273,0.279614000256448,-0.0231122128883949,0.981560763812914,0.999646927568409
